,Review,Label
0,room beyond expect clean everything staff nice wellwas,positive
1,stay extremely comfortable beautiful hotel surround wonderful staff great location food excellent,positive
2,definitely worth price pay convenient place heart kandy town stay single night quite impress budget level hotel great service park become problem though could park back hotel many park slot max guess word caution travellers maybe management well mirror room lightly mount almost drop hand get hit accidentally guess lucky room anyone interest,neutral
3,meals location goodbetter change checkout time pm standerd time every hotel,positive
4,worth money staff helpful friendly im happy select hotel stay night friend facilities really good price room comfortable clean best place stay heart kandy,positive
5,clean comfortable place staywas,positive
6,place close everywheretoilet need renew,neutral
7,facilities locationinitially c work complain staff able sort appreciate staff check room facilities prior open room book,neutral
8,great hotelwas,positive
9,comfy roomac noizy,neutral
10,stay property several time time tend bite different base staff staff tend really nice nice generally staff make biggest difference room spacious balcony love air work well bed comfortable housekeep good job bathroom large comfortable shower restaurant good range food tastefully prepare location outstanding near tooth temple near traditional dance though close pandemic lake attractions walkable wonderful kandy city center mall right across hotel electrical outlets great international travelers type plug every stay wifi worst run snail speed use watch netflix download anything perhaps check email even slow speed lock hotel minutes around p despite inform front desk appal,neutral
11,convenient placewas,positive
12,good room cleannone,positive
13,central location explore kandy lot cafes restaurants around super comfortable bed huge roomsits functional miss flair compare hotels sri lanka worth money surely nothing look cosy place,neutral
14,clean great facilities heart kandy poor wifii terrible restaurant go hotel avoid dinner,neutral
15,location one walk around city important attractions welltwo small bottle water daily less make even coffee,neutral
16,location perfect bed linen clean get perfectly calm silent room first floor sleep like baby breakfast ok buffet breakfast priority sleep weel value money hotel perfect would definitely return later check process take almost minutes reason hotel best time feel wear every corner bathroom pretty bad state dirty toilet seat white stickers top rather wear flip flop inside shower staff checkin rather weird look finger enter pin proceed card payment nice welcome staff cough hotel lack proper regular maintenance need much investment equipment restauraunt serve breakfast pretty filthy toast machine appreciate basic clean,neutral
17,helpfull staff clean comfortable hotel,positive
18,beautiful view breakfast terrace food ok good choices room clean,positive
19,comfortable bed hot water shower room clean every day breakfast hotel highly recommend really good price restaurant downstairs also worth try delicious food room bite loud people talk outside door could close properly gap near,neutral
20,great location helpful staff good value money staff also help train ticket ella fair price miss amenities bathroom accomodation elsewhere would,positive
21,bed comfy breakfast good make omelet close tooth temple etc restautant attach downstairs excellent balcony room quiet room clean stay fresh towel bottle water,neutral
22,good location good breakfast helpful staffstrange floor layout lift go stairs stairs get room,positive
23,upon second visit kandy would choose kandy city hotel even could renovation daily clean good staff nice quick responce every request nice experience,positive
24,great location servicewas,positive
25,good location close lake main street,positive
26,trouble parkingwas,negative
27,staff location good helpful enjoy breakfast last drop pub right next door link hotel location close market temple tooth communication breakdowns staff pub still go occasion days food good,positive
28,comfortable hotel centre kandy staff kind helpful bar next door great atmospherewas,positive
29,excellent stay kandy city hotel location better right heart kandy make convenient get around staff helpful everything possible make us comfortable include allow us early check look luggage check check sanduni reception desk indika especially hospitable make sure stay perfect totally worth price pay even peak holiday season total value money,positive
30,breakfast okay sri lanka nice room bathroom offer water boiler make tea coffee also nice service like coffe quite clairaudiant,negative
31,location hotel good center kandy citywas,positive
32,hotel city center restaurants shop around room perfect big comfy bed tv hot water ac also fan ask anything else,positive
34,location cleantimes,positive
